Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
18232,0,0,0,0,0,0,0,0,8,7,3,1,2,7,4,5,0,0,0,0,0,0,0,0
25522,0,0,0,0,0,0,4,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17504,0,0,0,0,0,0,0,0,0,1,2,1,0,3,4,4,2,6,2,15,2,0,4,0
25523,0,0,0,0,0,0,0,0,0,20,6,1,1,3,0,1,2,0,0,0,0,0,0,0
14671,0,0,0,0,0,0,0,0,0,3,4,3,1,6,20,23,9,10,9,2,0,0,0,0
18235,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
26254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17507,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26255,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18237,0,0,0,0,0,0,0,4,30,10,2,5,8,9,6,4,10,0,0,0,0,0,0,0
25528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26258,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26259,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
14677,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0
17510,0,0,0,0,0,1,8,3,0,0,2,0,0,6,3,0,1,3,2,0,0,0,0,0
17511,0,0,0,0,0,0,0,0,1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0
25530,0,0,0,0,0,0,0,0,3,0,13,4,1,1,9,4,1,0,0,0,0,0,0,0
17512,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0
26262,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26263,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,4,5,2,0,0,0,0,0,0
26264,0,0,0,0,7,19,18,42,29,15,25,21,28,8,1,2,0,0,0,0,0,0,0,0
18246,0,0,0,0,0,0,0,1,2,5,1,5,0,3,0,0,0,0,1,0,0,0,9,0
26265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17518,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26266,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,0,0,1,0,0,0
13957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
26269,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29101,0,0,0,0,0,0,0,0,2,0,1,1,3,3,3,0,0,0,0,0,0,0,0,0
29102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29103,0,0,0,0,1,0,0,0,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29104,0,0,0,0,0,0,0,5,18,13,13,7,6,1,2,0,0,0,0,0,0,0,0,0
17521,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
18250,0,0,0,0,0,0,0,0,1,4,0,0,0,2,3,2,0,0,0,0,0,0,0,0
18251,0,0,0,0,1,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
26270,0,0,0,0,0,0,0,5,1,6,0,0,0,3,0,1,4,0,0,0,0,0,0,0
29106,0,0,0,0,0,0,0,5,2,0,3,8,3,2,8,11,1,0,0,0,0,0,0,0
26271,0,0,0,0,0,0,0,1,5,6,2,4,0,1,2,0,1,0,0,0,0,0,0,0
29107,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25543,0,0,0,0,0,0,1,0,2,0,36,6,1,0,2,3,0,0,0,0,0,0,0,30
29108,0,0,0,0,1,1,0,2,0,1,1,4,0,0,0,4,0,0,0,0,0,0,0,0
17525,0,0,0,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
26273,0,0,0,0,0,0,0,0,2,13,12,3,6,4,2,2,6,2,4,0,0,0,0,0
29109,0,0,0,0,0,0,1,0,1,0,4,2,4,4,0,0,1,0,0,0,0,0,0,0
26274,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18257,0,0,0,0,0,9,19,11,7,11,6,9,7,0,0,0,0,0,0,0,0,0,0,0
26276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18258,0,0,0,0,0,0,3,69,19,26,18,10,13,15,6,9,6,3,2,1,0,0,0,0
25548,0,0,0,0,0,0,9,2,7,13,1,6,2,3,3,1,0,0,0,0,0,0,0,0
25549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26279,0,0,0,0,0,0,3,5,16,11,4,8,9,11,5,0,0,0,0,0,0,0,0,0
29110,0,0,0,0,0,0,0,0,0,6,6,1,0,1,5,0,0,0,0,0,0,0,0,0
29111,0,0,2,13,8,2,4,8,7,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29112,0,0,0,0,0,0,6,8,25,13,15,16,21,33,1,4,0,3,0,0,0,0,0,0
16801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
29114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25550,0,0,0,0,0,0,0,0,0,10,0,3,2,0,4,10,0,1,0,0,0,0,0,0
26280,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
18262,0,0,0,0,0,1,0,2,23,17,1,3,4,0,3,4,1,4,1,0,0,0,0,0
16805,0,0,0,0,0,0,0,20,12,12,21,0,7,18,5,3,4,0,0,0,0,1,0,0
25553,0,0,0,0,0,0,0,0,0,3,6,10,0,11,6,9,5,23,3,0,0,0,0,0
25554,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
29119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16807,0,0,0,0,0,0,0,2,3,0,1,2,2,10,11,9,0,0,0,0,0,0,0,0
17536,0,0,0,0,0,0,1,2,2,0,2,0,2,1,2,1,0,2,0,0,0,0,0,0
18265,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13974,0,0,0,0,0,2,4,1,1,0,0,1,8,0,4,1,0,0,0,0,0,0,0,0
25557,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26286,0,0,0,0,0,0,0,0,0,1,1,0,0,38,10,8,31,4,1,4,0,0,0,0
18267,0,0,0,0,0,0,0,1,5,3,4,1,13,13,29,8,1,2,1,1,1,4,0,0
18268,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25559,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,4,4,7,5,0,0,0,2
26288,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26289,0,0,0,0,0,0,0,2,4,2,1,1,1,8,2,3,0,0,0,0,0,0,0,0
29121,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0
17540,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
17543,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25562,0,0,0,0,0,0,0,3,1,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0
29127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17544,0,0,0,0,0,0,0,0,4,0,4,4,0,0,4,1,0,0,0,0,0,0,0,0
18273,0,0,0,0,0,1,0,0,1,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0
26292,0,0,0,0,0,0,0,5,12,22,17,77,33,7,13,6,12,1,0,0,0,0,0,0
29128,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0
26293,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
29129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17546,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0
18275,0,0,0,0,0,0,0,0,2,0,5,5,24,66,12,6,3,0,4,0,0,0,0,0
26295,0,0,0,0,0,0,2,1,2,7,8,2,2,5,6,1,0,1,0,2,0,0,0,0
25567,0,0,0,0,0,0,0,1,1,2,1,7,1,0,3,4,38,26,0,0,0,0,0,0
26296,0,0,0,4,0,5,2,2,7,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0
18278,0,0,0,0,0,0,1,6,2,1,6,4,1,1,4,7,3,3,3,11,0,0,0,0
26297,0,0,0,0,0,0,1,4,9,549,0,0,0,0,0,1,1,0,0,0,0,0,0,0
13987,0,0,0,1,2,1,6,13,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28400,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0
28401,0,0,0,0,0,0,0,0,1,0,8,3,3,0,1,1,0,0,0,0,1,2,0,0
29133,0,0,0,0,0,0,0,5,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
28404,0,0,0,0,0,0,0,1,1,12,1,0,0,2,2,0,2,0,0,0,0,0,0,0
28405,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28407,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
16824,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
29137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28408,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
18283,0,0,0,0,0,0,0,0,6,13,6,4,3,5,6,28,5,0,0,2,0,0,0,0
29138,0,0,0,0,0,0,0,6,2,2,0,0,1,1,0,14,0,0,0,0,0,0,0,0
28409,0,0,0,0,0,0,0,2,5,16,8,0,5,10,0,3,1,0,0,0,0,0,0,0
17555,0,0,0,0,0,0,1,1,2,3,0,2,1,0,0,5,0,0,0,0,0,0,0,0
25574,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
17556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18287,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,7,4,1,0,0,0,0,0
25577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28410,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28412,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
29142,0,0,0,0,0,0,0,0,2,7,1,1,1,4,1,9,1,0,0,0,0,0,0,0
29143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28414,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,4,0,0,0,0,0,0,0,0
28415,0,0,0,0,0,0,0,4,0,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0
18290,0,0,0,0,0,0,0,1,2,4,1,1,11,1,14,2,5,3,0,0,6,3,0,0
28416,0,0,0,0,0,0,1,4,0,1,7,1,1,15,25,1,8,3,0,0,0,0,0,0
29146,0,0,0,0,0,0,1,2,4,2,5,0,2,0,2,1,0,0,0,0,0,0,0,0
28417,0,0,0,0,0,6,6,2,2,21,6,2,1,1,1,0,0,0,0,0,0,0,0,0
28418,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17566,0,0,0,0,0,0,0,0,2,1,0,6,3,7,10,0,3,0,0,0,0,0,0,0
25585,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,3,0,0,0,0,0,0,0
17567,0,0,0,0,0,0,3,1,2,1,4,4,3,1,2,8,0,0,0,0,0,0,0,0
18296,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29150,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,4,4,4,0,0,0,0,0,0
28421,0,0,0,0,0,0,0,0,1,2,2,0,0,58,36,1,0,0,0,0,0,0,0,0
28422,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
29152,0,0,0,0,0,0,0,0,0,7,21,0,0,1,2,3,4,1,0,0,0,0,0,0
28424,0,0,0,0,0,0,0,0,1,0,15,0,0,3,2,1,0,0,0,2,0,0,0,0
28425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
16842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28426,0,0,0,0,0,0,0,0,0,3,5,3,0,10,0,14,2,9,0,0,0,0,0,0
29156,0,0,0,0,0,0,1,0,4,0,2,0,1,1,0,3,1,0,0,0,0,0,0,0
25592,0,0,0,0,0,0,3,9,2,1,5,3,0,0,16,5,0,0,0,0,0,0,0,0
29157,0,0,0,0,0,0,0,0,2,12,5,2,0,0,5,0,0,0,0,0,0,0,0,0
28428,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
17574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
29158,0,0,0,0,0,1,2,10,6,7,7,4,1,3,3,0,0,0,0,0,0,0,0,0
