Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
14594,7,0,0,1,0,0,0,11,2,2,1,3,3,26,55,40,19,2,1,0,31,7,12,6
17429,0,0,0,0,0,11,407,297,255,373,309,168,203,347,225,181,8,16,6,1,1,0,2,0
21884,0,0,0,0,0,1,19,259,510,464,378,199,147,475,532,387,169,13,5,0,0,5,0,0
26178,0,0,0,1,6,328,1294,1315,1325,1183,1170,913,836,1282,655,164,23,27,11,3,1,0,4,0
21887,1,0,0,0,0,0,1,0,4,21,26,22,17,18,7,14,2,4,32,0,2,0,0,9
21888,0,0,0,0,0,0,9,71,206,438,421,263,298,459,479,490,386,378,158,68,2,2,2,0
29010,0,0,0,0,0,0,0,14,27,13,18,8,14,7,3,3,3,1,0,0,0,0,0,0
29011,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,5,0,0,0,0,0,0,0
29014,0,0,0,0,0,0,0,3,19,53,67,55,29,26,47,79,74,69,19,1,0,0,0,0
25450,0,0,0,0,0,7,23,31,34,23,8,72,38,61,18,32,36,1,0,0,0,0,0,0
18162,0,0,0,0,0,0,13,15,41,71,79,21,13,76,56,32,0,0,0,0,0,0,0,0
29017,0,0,0,0,0,0,0,1,15,26,21,14,4,8,13,14,6,24,0,0,0,0,0,0
25453,0,0,0,1,0,5,33,65,64,97,342,48,123,175,108,185,52,29,5,7,5,12,25,8
21890,0,0,0,0,0,0,15,22,19,15,26,13,19,26,18,16,0,0,0,0,0,0,0,0
25454,0,0,0,0,0,6,11,35,24,17,15,17,19,18,8,4,0,1,2,0,0,0,0,0
26183,0,0,0,0,3,16,70,148,264,268,273,135,133,251,193,259,165,94,87,83,33,37,15,9
25455,0,0,0,0,0,148,198,217,250,192,243,62,100,180,126,44,0,0,0,0,0,0,0,0
21892,0,0,0,0,1,3,1,61,73,117,65,55,37,57,167,75,92,46,90,2,7,0,3,0
26185,0,0,0,7,2,28,207,416,415,317,355,241,345,372,342,314,100,45,29,11,2,1,1,0
25457,0,0,0,0,0,0,2,20,2,5,5,5,11,3,6,0,0,0,0,0,0,0,0,0
26186,0,0,0,0,31,118,131,96,105,152,125,112,144,109,29,2,1,1,3,5,13,21,5,1
25459,0,0,0,0,0,2,4,55,147,221,256,131,142,178,472,140,151,26,3,0,4,0,0,0
26188,0,0,0,0,1,0,2,3,6,31,30,10,10,20,20,35,22,30,17,6,0,4,0,0
21897,13,0,0,0,0,0,0,2,8,104,207,146,66,158,215,183,232,244,123,47,15,6,12,10
21899,0,0,0,0,1,5,42,63,99,57,71,59,53,70,68,32,8,15,5,13,16,3,1,0
29020,0,0,0,0,0,3,12,22,16,10,4,5,5,5,2,1,0,0,0,0,0,0,0,0
29021,0,0,0,0,0,2,2,7,6,11,7,26,9,9,6,4,0,0,0,0,0,0,0,0
29022,0,0,0,2,10,2,6,8,10,11,12,4,9,6,5,2,1,0,0,0,1,0,0,0
29023,0,0,0,0,9,28,48,22,31,16,7,17,26,3,2,0,0,0,0,0,0,0,0,0
26190,47,27,7,0,2,0,20,355,378,377,286,262,348,170,377,183,94,5,17,42,23,18,53,41
26191,1,0,3,0,2,14,18,499,74,177,155,118,68,98,195,50,26,5,7,70,33,0,0,1
29027,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
26193,0,0,0,0,22,391,2896,3732,3340,2723,3958,858,488,5525,1844,12,1,1,0,0,0,0,0,0
29029,0,0,0,0,0,0,0,2,15,43,16,2,2,2,4,6,10,4,9,0,0,0,1,0
26194,0,0,0,0,0,7,40,163,339,344,334,142,228,483,336,277,232,131,51,1,4,0,0,0
13883,0,0,0,0,0,0,0,30,715,723,475,90,247,321,396,460,240,0,0,0,0,0,0,0
26195,0,0,0,0,0,0,0,0,2,4,11,3,30,52,66,35,16,14,9,0,0,0,0,2
